FID,src_name,src_link,ev_id,ev_date,ev_time,ev_title,ev_desc,loc_desc,loc_accu,ls_cat,ls_trig,ls_size,ls_setting,fatalities,injuries,storm_name,photo_link,comments,ev_imp_src,ev_imp_id,latitude,longitude,ctry_name,ctry_code,div_name,gaz_point,gaz_dist,sub_date,edit_date,lon,lat,dt
9729,Seattle Times,http://seattletimes.com/html/nationworld/2024228959_apxnepalflooding.html,6187,1406937600000.0,02:00,Mankha,Rescue workers in eastern India urgently evacuated tens of thousands of people on Monday after a deadly landslide in neighboring Nepal blocked a river that could burst its banks and submerge scores of Indian villages. Authorities in Nepal said there is n,Mankha,exact,landslide,continuous_rain,large,above_river,174,52, ,http://www.irinnews.org/photo/Download.aspx?Source=Report&Year=2014&ImageID=201408060931260315&Width=490, ,GLC,6187,27.7702,85.8692,Nepal,NP,Bagmati,Barahbise,3.7,1417996800000.0,1606348800000,9558915.61882577,3220032.038705099,2014-08-02
9735,myrepublica,http://www.myrepublica.com/portal/index.php?action=news_details&news_id=23553,2429,1284422400000.0, ,"Araniko hwy to villages Bahrabise(Barabise), Lamo Sanghu(Lamosanghu), and Kadi Chaur(Khadichaur), Sindhupalchowk","SINDHUPALCHOWK, Sept 21: Locals in Tatopani, Bahrabise, Lamo Sanghu and Khadi Chaur villages in Sindhupalchowk have been deprived of telecommunication service for the past one week after landslides damaged optical fibers on the Araniko Highway.  Around 1","Araniko hwy to villages Bahrabise(Barabise), Lamo Sanghu(Lamosanghu), and Kadi Chaur(Khadichaur), Sindhupalchowk",5km,landslide,downpour,medium,unknown,0,0, , , ,GLC,2429,27.7513,85.8166,Nepal,NP,Bagmati,Barahbise,9.26,1396310400000.0,1606348800000,9553060.213610046,3217654.43923847,2010-09-14
9742,The Northlines,http://thenorthlines.com/readMore.aspx?nid=38956,7168,1428364800000.0, ,Khanpora,"Locals informed CNS that following the sinking of karewa, three houses collapsed and damaged completely due to mudslide.",Khanpora,1km,landslide,continuous_rain,medium,urban,0,1, , , ,GLC,7168,34.2088,74.3279,India,IN,Jammu and Kashmir,Baramula,2.09,1436745600000.0,1606348800000,8274143.979733366,4056873.3417305117,2015-04-07
9746,www.hindustantimes.com,http://www.hindustantimes.com/News-Feed/Jammu Sec/Srinagar-Leh-national-highway-closed-due-to-landslide/Article1-1102398.aspx,5244,1375315200000.0,20:00,"Pushkum In Kargil, Kashmir","The Srinagar-Leh national highway in Jammu and Kashmir remained closed for the second consecutive day on Friday due to a landslide in the Kargil area triggered by cloudburst. ""The traffic on the Srinagar-Leh road has been suspended due to the landslide o","Pushkum In Kargil, Kashmir",5km,landslide,downpour,medium,unknown,0,0, , , ,GLC,5244,34.4332,76.2851,India,IN,Jammu and Kashmir,Goma,1.11,1435622400000.0,1606348800000,8492018.48711396,4087119.5891558905,2013-08-01
9747,Republica,http://www.myrepublica.com/portal/index.php?action=news_details&amp;news_id=79230,6158,1405641600000.0,09:00,Baglung,"Traffic along Maldhunga-Beni road section, linking Maldhunga of Parbat and Beni of Myagdi, has been obstructed from Friday morning due to landslide. The traffic was obstructed after the landslide triggered following the continuous rainfall buried the roa",Baglung,5km,landslide,rain,small,above_road,0,0, , , ,GLC,6158,28.3048,83.6011,Nepal,NP,Dhawalagiri,Bega,15.37,1408838400000.0,1606348800000,9306431.881757546,3287456.729381049,2014-07-18
9750,Kenya Broadcasting Corporation,http://www.kbc.co.ke/story.asp?ID=44855,248,1189209600000.0, ,"Pokhara and Sarankot VDC, Kaski District","killed in area surrounding city when earth slid 500 m down Gasti hill, wiping out 14 houses and displacing population","Pokhara and Sarankot VDC, Kaski District",10km,landslide,rain,large,unknown,6,0, , , ,GLC,248,28.2333,83.9533,Nepal,NP,Gandaki,Gate,15.55,1396310400000.0,1606348800000,9345638.606414942,3278419.550649766,2007-09-08
9758,thehimalayantimes,http://www.thehimalayantimes.com/fullNews.php?headline=Landslide+obstructs+Prithvi+highway+%3Bstrands+passengers&NewsID=347717,4566,1347926400000.0, ," Prithvi Highway,Titrang,Mauwakhola, Jogimara VDC-2","Thousands of passengers have been stranded after a landslide blocked the Prithvi Highway near Titrang at Mauwakhola, Jogimara VDC-2 on Tuesday morning. Though a bulldozer has been employed to remove the landslide debris on the road but its work has been"," Prithvi Highway,Titrang,Mauwakhola, Jogimara VDC-2",5km,landslide,downpour,medium,unknown,0,0, , , ,GLC,4566,27.7923,84.7001,Nepal,NP,Bagmati,Trisuli,16.44,1396310400000.0,1606348800000,9428772.00213936,3222812.718564306,2012-09-18
9768,www.thehindu.com,http://www.thehindu.com/news/national/other-states/landslide-damages-kedarnath-highway-yatra-still-on/article5248031.ece?homepage=true,5611,1382054400000.0,09:00,"National Highway 109, Uttarakhand","A fresh landslide on Friday morning damaged 350 metre of National Highway 109 to Kedarnath. A 200 metre stretch had already been washed away in a landslide that occurred on Wednesday evening, Rudraprayag District Magistrate Raghav Lavangar told The Hindu","National Highway 109, Uttarakhand",25km,landslide,rain,medium,unknown,0,0, , , ,GLC,5611,30.5345,79.0853,India,IN,Uttaranchal,Gaundar,11.51,1396310400000.0,1606348800000,8803735.325233286,3572441.526870723,2013-10-18
9771,NDTV,http://www.ndtv.com/india-news/cloudburst-kills-3-at-amarnath-camp-rescue-operation-on-1200523,7275,1437696000000.0, ,Baltal,"""The army has launched a massive relief and rescue operation to save the pilgrims trapped in landslide at Baltal,"" defence ministry spokesman Lt Col NN Joshi said in Srinagar.  ""There were cloudburst-triggered landslides at three places between Baltal ga",Baltal,1km,landslide,continuous_rain,medium,unknown,0,0, , , ,GLC,7275,34.258,75.4189,India,IN,Jammu and Kashmir,Sonamarg,12.3,1437955200000.0,1606348800000,8395593.544188827,4063497.9572754144,2015-07-24
9776,dnaindia,http://www.dnaindia.com/india/report_landslide-leaves-tourists-stranded-in-leh_1700022,4396,1339113600000.0, ,450 civilians stranded,rain and snow triggered landslides that stranded about 450 tourists in 150 vehicles. Altitude sickness necessitated the use of medical oxygen.,"Khardung la Pass, Leh district",10km,landslide,downpour,medium,unknown,0,0, , ,Additional details from NDTV,GLC,4396,34.27950832,77.59998914,India,IN,Jammu and Kashmir,Leh,11.19,1396310400000.0,1606348800000,8638391.276628366,4066395.197548412,2012-06-08
9777,ABP News,http://www.abplive.in/india-news/himachal-pradesh-massive-rockslide-blocks-nh-5-407177,9490,1472428800000.0,23:00,NH-05 near Chaura village,Incessant rains have caused massive rockslides blocking the National Highway-5 that connects the state with Punjab.,NH-05 near Chaura village,5km,rock_fall,continuous_rain,medium,above_road,0,0, ,http://static.abplive.in/wp-content/uploads/2016/08/30100545/ROCKSLIDE-compressed-580x395.jpg, ,GLC,9490,31.5728,77.8561,India,IN,Himachal Pradesh,Sarahan,8.25,1472688000000.0,1606348800000,8666901.407150196,3707363.6998697068,2016-08-29
9784,ibnlive.in,http://ibnlive.in.com/generalnewsfeed/news/landslide-kills-five-showers-soak-parts-of-north/652420.html,3376,1302998400000.0, ,"Kundial village(?) or Bopa Pull(?) of Kashtigarh(Kastigarh )(?) or Bhogal village(?), Doda district, Jammu","Apr 18,2011  New Delhi, Apr 18 (PTI) Five of a family perished in a landslide in Jammu and Kashmir as rains drenched parts of North India for the second day today pouring cool comfort on its residents. A landslide, triggered by torrential rains, struck K","Kundial village(?) or Bopa Pull(?) of Kashtigarh(Kastigarh )(?) or Bhogal village(?), Doda district, Jammu",unknown,landslide,downpour,medium,unknown,5,0, , , ,GLC,3376,33.1488,75.5526,India,IN,Jammu and Kashmir,Doda,0.71,1396310400000.0,1606348800000,8410476.960107885,3915071.3708746224,2011-04-17
9786,india.nydailynews,http://india.nydailynews.com/newsarticle/50533f44c110c01e42000000/india-landslides-kill-28,4550,1347580800000.0,08:00,"Rudraprayag, Uttarakhand","At least 28 people in northern India died on Friday in landslides and flashfloods triggered by heavy overnight monsoon rains and about a dozen others are missing, a rescue official told AFP. The deaths occurred in the early hours after particularly heavy","Rudraprayag, Uttarakhand",5km,landslide,downpour,very_large,unknown,19,0, , , ,GLC,4550,30.2853,78.9829,India,IN,Uttaranchal,Srinagar,15.73,1396310400000.0,1606348800000,8792336.20937605,3540275.4662925503,2012-09-14
9793,Hindu,http://www.thehindu.com/news/national/other-states/life-remains-hit-in-darjeeling-hills/article9222389.ece,9620,1476489600000.0, ,Rangpo,"The road on way to Peiling in Sikkim remained cut off due to landslides at Namchi and Rangpo but the Lava-Lolegaon route in Darjeeling was still working, though only for cars and the small vehicles took long detour through the second route, the officials",Rangpo,5km,landslide,downpour,medium,above_road,0,0, , , ,GLC,9620,27.172,88.5292,India,IN,West Bengal,Kalimpong,11.99,1476835200000.0,1606348800000,9855025.464335881,3144977.3599386388,2016-10-15
9798,myRepublica,http://www.myrepublica.com/portal/index.php?action=news_details&news_id=80989,6516,1408060800000.0,09:00,Syalapakhala VDC,"According to District Police Office, Kalpana Kalel, 10, killed when a landslide triggered by incessant rainfall buried the house of Hiralal Kalel in Syalapakhala VDC, Batasedanda of the district in the wee hours of Friday.",Syalapakhala VDC,50km,landslide,continuous_rain,medium,unknown,1,0, , , ,GLC,6516,28.6985,82.7065,Nepal,NP,Rapti,Padmi,11.04,1418601600000.0,1606348800000,9206845.465293888,3337327.5219043186,2014-08-15
9800,nepalnews,http://www.nepalnews.com/archive/2008/dec/dec25/news08.php,950,1230163200000.0, ,Bajura district,"Three teenage girls died after being buried in a landslide at a remote village in far-western Bajura district Thursday morning. Five others were also injured in the incident. According to reports, the three girls were digging for mud to decorate their ho",Bajura district,unknown,mudslide,mining,medium,unknown,3,0, , , ,GLC,950,29.3559,81.3097,Nepal,NP,Seti,Bajura,0.03,1410393600000.0,1606348800000,9051354.400553845,3421022.5864862767,2008-12-25
9806,dawn,http://www.dawn.com/wps/wcm/connect/dawn-content-library/dawn/news/pakistan/12-at+least+40+killed+in+gb+rains+landslides--bi-05,2235,1281484800000.0, ,"Gaisbala and Doga villages, Diamer district of Gilgit-Baltistan","Severe rains, lightning and land sliding in the Diamer district of Gilgit-Baltistan on Wednesday killed at least 40 people, including four women and 29 children. According to sources, rains along with lighting destroyed hundreds of houses in the Gaisbala","Gaisbala and Doga villages, Diamer district of Gilgit-Baltistan",50km,landslide,downpour,large,unknown,40,0, , , ,GLC,2235,35.3599,73.9791,Pakistan,PK,Northern Areas,Chilas,12.09,1396310400000.0,1606348800000,8235315.741344673,4212898.314765993,2010-08-11
9818,Business Standard,http://www.business-standard.com/article/pti-stories/couple-killed-in-landslide-in-ramban-114051401366_1.html,6024,1400025600000.0, ,Ramban,"A couple died in a landslide that hit their house in Ramban district of Jammu and Kashmir today. Rescuers, however, managed to save their three-year-old daughter from under the debris, a defence spokesman said. The house of Abdul Gani Khandey was hit by",Ramban,1km,landslide,rain,small,unknown,2,0, , , ,GLC,6024,33.2394,75.2405,India,IN,Jammu and Kashmir,Chaunkri,20.57,1408838400000.0,1606348800000,8375734.147031306,3927123.591724381,2014-05-14
9819,sify.com,http://sify.com/news/two-killed-in-himachal-landslides-news-national-kiotEcdjgci.html,2246,1281744000000.0, ,"Solan : Zhang Cheng felt lucky he did not take a nap as usual when the landslide destroyed his home in Nanyue village in Dujiangyan, Sichuan province*","Zhang Cheng felt lucky he did not take a nap as usual when the landslide destroyed his home in Nanyue village in Dujiangyan, Sichuan province, on Friday.  ""Because of the downpour, I became sleepless and fled in good time when a large mass of the landsli", ,5km,landslide,downpour,medium,unknown,2,0, , , ,GLC,2246,30.9012,77.0958,India,IN,Himachal Pradesh,Gannja,8.75,1410739200000.0,1606348800000,8582265.198300067,3619924.718945295,2010-08-14
9831,Kashmir Times,http://www.kashmirtimes.in/newsdet.aspx?q=42967,7195,1436659200000.0, ,Seri in Ramban along Jammu-Srinagar National Highway,"One-year old child Sunday died when a car, in which he was travelling along with his family, was struck by a landslide at Seri in Ramban along Jammu-Srinagar National Highway, while continued to remain closed and traffic remained suspended in the wake of",Seri in Ramban along Jammu-Srinagar National Highway,1km,landslide,continuous_rain,small,above_road,1,0, , , ,GLC,7195,33.2504,75.2102,India,IN,Jammu and Kashmir,Chaunkri,18.62,1436832000000.0,1606348800000,8372361.166460268,3928587.735237496,2015-07-12
9832,Hindustan Times,http://www.hindustantimes.com/india/several-feared-buried-under-landslide-near-bengal-sikkim-border/story-1f7Ni6EagU54nghtFD9otO.html,9215,1452729600000.0,05:00,NH10 in Rangpo,"An unspecified number of people are feared trapped after a large piece of rock, estimated to measure about 150 metres, broke off a hillock and crashed down on a stretch of the national highway connecting Sikkim with Bengal. One body was recovered and thr",NH10 in Rangpo,1km,rock_fall,unknown,medium,above_road,1,5, , , ,GLC,9215,27.1758,88.5294,India,IN,Sikkim,Kalimpong,12.38,1469664000000.0,1606348800000,9855047.728234041,3145452.857256428,2016-01-14
9833,ibnlive.in,http://ibnlive.in.com/generalnewsfeed/news/rains-drench-north-india-7-die-in-rainlinked-incidents/753764.html,3756,1310256000000.0, ,Mandi district,"In Uttarakhand, light to moderate rains continued to lash most parts of the hill state with the Met office predicting more rains during the next 24 hours. Incessant rains triggered landslides at Nalupani area in Uttarkashi district blocking vehicular tra",Mandi district,5km,landslide,downpour,medium,unknown,0,0, , , ,GLC,3756,31.7099,76.933,India,IN,Himachal Pradesh,Mandi,0.66,1396310400000.0,1606348800000,8564142.385198921,3725290.4450353207,2011-07-10
9836,Red Cross - Field reports,https://www-secure.ifrc.org/dmis/prepare/view_report.asp?ReportID=2987,150,1185753600000.0, ,Chamoli,"Lambagarh and Makhari areas, Chamoli-Joshimuth Marg",Chamoli,50km,landslide,downpour,medium,unknown,0,0, , , ,GLC,150,30.4,79.349,India,IN,Uttaranchal,Langsu,13.04,1396310400000.0,1606348800000,8833090.27495547,3555070.433837357,2007-07-30
9842,The Times of India,http://timesofindia.indiatimes.com/india/Darjeeling-landslides-kill-20/articleshow/47891729.cms,7034,1435622400000.0, ,"Lava, Kalimpong","In Lava, Kalimpong one student of Class 9 was killed, and all roads to and from Lava are shut down","Lava, Kalimpong",1km,landslide,downpour,medium,unknown,1,0, , , ,GLC,7034,27.0875,88.6556,India,IN,West Bengal,Kalimpong,17.68,1435708800000.0,1606348800000,9869096.24797215,3134407.9775154665,2015-06-30
9846,Arunchal Times,http://www.arunachaltimes.in/two-killed-in-lumla-landslide-four-injured/,9428,1461283200000.0,21:00,"Thongleng village, Lumla, Tawang, Arunachal Pradesh, India","A Septuagenarian couple was killed and four others injured seriously in a landlside in Thongleng village under Lumla sub-division in Tawang on Friday night. The landslide, which occurred at around 9.30 pm, also washed away three houses, Lumla ADC informe","Thongleng village, Lumla, Tawang, Arunachal Pradesh, India",10km,landslide,continuous_rain,medium,unknown,2,4, , , ,GLC, ,27.5523,91.752,India,IN,Arunachal Pradesh,Twang Shyo,12.91,1470355200000.0,1606348800000,10213785.919264443,3192645.422471497,2016-04-22
9848,articles.timesofindia,http://articles.timesofindia.indiatimes.com/2012-07-04/guwahati/32536229_1_massive-landslides-landslide-hit-road-blockade,4436,1340582400000.0, ,"Khonsa, Arunachal Pradesh","Road communication between Khonsa, the district headquarters, and Lazu, an administrative post situated on the Myanmar border, about 40km from Khonsa, has remained cut off for the past three days following massive landslides triggered by rain at Pongkong","Khonsa, Arunachal Pradesh",50km,landslide,downpour,medium,unknown,0,0, , , ,GLC,4436,26.9986,95.4993,India,IN,Arunachal Pradesh,Laju,13.65,1396310400000.0,1606348800000,10630933.447114076,3123296.838693999,2012-06-25
9851,Fire Engineering,http://www.fireengineering.com/ap-news/2014/06/20/landslide-kills-9-from-same-family-in-nepal.html,6069,1403136000000.0,23:00,Pyuthan District,"A landslide triggered by heavy rainfall buried a house in a west Nepal village, killing nine members of the same family, police said Friday. Police official Nishant Shrivastav said the landslide buried the house around midnight in Aglung village, about 2",Pyuthan District,25km,landslide,rain,medium,unknown,9,0, , , ,GLC,6069,28.0054,82.68,Nepal,NP,Rapti,Swargdwar,13.06,1408838400000.0,1606348800000,9203895.498787865,3249654.62316643,2014-06-19
9859,NDTV,http://www.ndtv.com/india-news/jammu-srinagar-national-highway-blocked-due-to-landslide-amarnath-yatra-suspended-1205141,7613,1438992000000.0, ,Jammu-Srinagar National Highway at Kheri in Udhampur district,The Amarnath yatra has been suspended today due to closure of the Jammu-Srinagar National Highway in the wake of a landslide triggered by heavy rains in Udhampur district of the state.,Jammu-Srinagar National Highway at Kheri in Udhampur district,10km,landslide,downpour,medium,above_road,0,0, ,http://media2.intoday.in/indiatoday/images/stories/jammu_647_080815124015.jpg, ,GLC,7613,32.9961,75.1994,India,IN,Jammu and Kashmir,Udhampur,10.68,1459900800000.0,1606348800000,8371158.9159597065,3894786.3150634873,2015-08-08
9867,www.dawn.com,http://www.dawn.com/news/1035621/landslide-kills-six-in-nepal-mountains,5322,1376352000000.0,23:00,Khimti Village,Police official Dipendra Jayswal said Tuesday that the landslide triggered by heavy rainfall struck Khimti village overnight while people were sleeping. At least half a dozen houses were swept away by the landslide. Six more people who were injured have,Khimti Village,1km,landslide,monsoon,medium,unknown,7,6, , , ,GLC,5322,27.4907,86.1078,Nepal,NP,Janakpur,Barahbise,38.75,1396310400000.0,1606348800000,9585476.449329048,3184913.1365332324,2013-08-13
9871,NYOOOZ,http://www.nyoooz.com/guwahati/515423/woman-killed-in-wall-collapse-after-landslide-in-guwahati,8222,1466553600000.0,12:00,"Piyali Phukan Nagar, Guwahati, India","A woman was buried alive in Piyali Phukan Nagar in the city when the guard wall of her house collapsed after a landslide. No one else from her family was injured.The rescue official said Rukia's house was located just on the edge of a hill. ""After almost","Piyali Phukan Nagar, Guwahati, India",5km,mudslide,downpour,medium,natural_slope,1,0, ,http://timesofindia.indiatimes.com/photo/52879646.cms, ,GLC,8222,26.1961,91.7825,India,IN,Assam,Gauhati,3.33,1467676800000.0,1606348800000,10217181.16373364,3023389.1101150056,2016-06-22
9874,nepal1st,http://www.nepal1st.com/modules.php?name=News&file=article&sid=1053,722,1218844800000.0, ,"Sadi VDC, Pyuthan district","occurred Saturday night, people were heading to Barman temple","Sadi VDC, Pyuthan district",25km,landslide,downpour,medium,unknown,2,0, , , ,GLC,722,28.0993,82.8332,Nepal,NP,Rapti,Pyuthan,4.89,1396310400000.0,1606348800000,9220949.644777391,3261499.0260352087,2008-08-16
9885,webindia123,http://news.webindia123.com/news/Articles/India/20150719/2644934.html,7227,1437264000000.0,15:00,Sandrathi village of Munsiyari block of Pithoragarh district,"A woman died after being hit with a stone falling from hills above in Munsiyari block of Pithoragarh district, the eighth victim of landslide in the border district this rainy season.",Sandrathi village of Munsiyari block of Pithoragarh district,1km,rock_fall,monsoon,small,natural_slope,1,0, , , ,GLC,7227,30.0705,80.2364,India,IN,Uttaranchal,Mathkot,7.29,1437350400000.0,1606348800000,8931875.191085422,3512615.1838586805,2015-07-19
9887,thehimalayantimes,http://www.thehimalayantimes.com/fullNews.php?headline=Incessant+rains+affect+life+in+Kalikot&NewsID=299831,3922,1313280000000.0, ,"Syaule bazaar, Ruku VDC, Kalikot district (found location for Raku in Kalikot)","Likewise, landslides have crumbled road at Kumal VDC and there is low mobility of people to and from district headquarters due to continuous landslides in Syaule bazaar of Ruku VDC, said locals.","Syaule bazaar, Ruku VDC, Kalikot district (found location for Raku in Kalikot)",5km,landslide,downpour,medium,unknown,0,0, , , ,GLC,3922,29.1832,81.5999,Nepal,NP,Karnali,Rupsa,7.37,1396310400000.0,1606348800000,9083659.31678205,3398984.017578472,2011-08-14
9889,Z News,http://zeenews.india.com/news/uttarakhand/landslide-leaves-500-stranded-in-uttarakhand_1640391.html,7391,1438387200000.0, ,Gangotri highway,At least 500 people were left stranded after a landslide blocked a highway in Uttarakhand on Saturday.,Gangotri highway,50km,rock_fall,continuous_rain,medium,above_road,0,1, , , ,GLC,7391,31.0358,78.8578,India,IN,Uttaranchal,Dhumku,13.42,1454025600000.0,1606348800000,8778410.141077815,3637399.3281402704,2015-08-01
9891,thehimalayantimes,http://www.thehimalayantimes.com/fullNews.php?headline=Landslide-hit+villagers%27+SOS&NewsID=257908,2433,1284508800000.0, ,"Pokari village(?), Pokhari Sagarmarth VDC, near Mesirkha(?) and Charpane(?), Udayapur district","2010-09-15 11:34 PM  GAIGHAT: In protest of a state that refuses to wake up from slumber even when its people are under threat of natural disasters, 22 families of landslide-prone Pokari village in Udayapur district have decided to hand over their land o","Pokari village(?), Pokhari Sagarmarth VDC, near Mesirkha(?) and Charpane(?), Udayapur district",50km,landslide,downpour,medium,unknown,0,0, , , ,GLC,2433,26.9796,86.7001,Nepal,NP,Sagarmatha,Sun  Kosi,25.26,1396310400000.0,1606348800000,9651410.983725907,3120923.2697904017,2010-09-15
9896,myrepublica,http://www.myrepublica.com/portal/index.php?action=news_details&news_id=8789,1101,1250553600000.0, ,"Asigram-9 Bhetagaun, Dadeldhura","Two persons were killed and hundreds displaced in landslides following incessant rains across the country on Tuesday. According to our correspondent from Dadeldhura, two persons were killed and four injured in two separate incidents of landslide in the d","Asigram-9 Bhetagaun, Dadeldhura",25km,landslide,downpour,medium,unknown,1,0, , , ,GLC,1101,29.1917,80.8708,Nepal,NP,Seti,Dhindi,25.88,1396310400000.0,1606348800000,9002496.27604467,3400067.8484290084,2009-08-18
9901,Business Standard,http://www.business-standard.com/article/pti-stories/landslip-damages-40-houses-in-kathua-cong-demands-early-relief-115082100957_1.html,7704,1440028800000.0, ,Morha-Chuhara village in Billawar tehsil,"As many as 40 houses and a government school building were damaged in a landslide at Morha-Chuhara village in Billawar tehsil of Kathua district, following which Congress today demanded that the state government ensures early rehabilitation of the affect",Morha-Chuhara village in Billawar tehsil,5km,landslide,unknown,medium,unknown,0,0, , , ,GLC,7704,32.6175,75.6157,India,IN,Jammu and Kashmir,Madhopur,28.05,1463097600000.0,1606348800000,8417501.219976943,3844642.8481203374,2015-08-20
9904,The Tribune,http://www.tribuneindia.com/news/himachal/woman-kids-die-in-theog-house-collapse/111662.html,7286,1437868800000.0, ,Shimla,"Heavy rain caused landslides blocking roads in interiors of Shimla, Chamba, Mandi and Kullu districts and over 100 roads in interior areas were blocked.",Shimla,10km,landslide,continuous_rain,small,above_road,0,0, , , ,GLC,7286,31.1003,77.1751,India,IN,Himachal Pradesh,Simla,10.05,1437955200000.0,1606348800000,8591092.833919972,3645781.8697362673,2015-07-26
9910,articles.timesofindia.indiatimes.com,http://articles.timesofindia.indiatimes.com/2013-07-08/india/40442779_1_food-grains-villages-pithoragarh-district-headquarters,5024,1372896000000.0, ,"Gunji, Uttarakhand","A 52-member batch of Kailash Mansarovar pilgrims has been stuck in Gunji town, 120 km from Pithoragarh, since July 4 due to landslides triggered by incessant rainfall over the past five days. The pilgrims are on their way back to Pithoragarh. ""Gunji has","Gunji, Uttarakhand",50km,landslide,continuous_rain,medium,unknown,0,0, , , ,GLC,5024,30.1719,80.8576,India,IN,Uttaranchal,Sobala,28.2,1396310400000.0,1606348800000,9001026.858766202,3525665.178279648,2013-07-04
9917,www.ekantipur.com,http://www.ekantipur.com/2013/09/04/national/4-hurt-as-landslides-destroy-houses/377477.html,5444,1378166400000.0, ,"Pandavkhani, Baglung, Western Region","DSP Gurung said there were a number of landslides in Bungadobhan, Pandavkhani among other VDCs damaging many houses. ÒThe damage caused by the landslides is yet to be assessed as the security personnel who reached there are busy rescuing people,Ó he sa","Pandavkhani, Baglung, Western Region",1km,landslide,downpour,medium,unknown,0,0, , , ,GLC,5444,28.2632,83.3482,Nepal,NP,Dhawalagiri,Nisi Khola,10.76,1396310400000.0,1606348800000,9278279.182535933,3282197.9967924305,2013-09-03
9933,articles.timesofindia.indiatimes.com,http://articles.timesofindia.indiatimes.com/2013-08-17/chandigarh/41420266_1_rohtang-tunnel-work-lahaul-spiti-mla-ravi-thakur-kullu,5214,1374883200000.0, ,"Malling, Himachal Pradesh","Another road to Spiti from Kinnaur is already damaged at Malling, where landslide washed away a large portion of it. The calamity has left many tourists and vehicles stranded in Spiti valley. ""The road is damaged at four stretches. I left my car on the r","Malling, Himachal Pradesh",10km,landslide,mining,medium,unknown,0,0, , , ,GLC,5214,31.8931,78.63,India,IN,Himachal Pradesh,Khab,9.42,1396310400000.0,1606348800000,8753051.561075106,3749286.506300521,2013-07-27
9943,www.morungexpress.com,http://www.morungexpress.com/local/103875.html,5336,1376611200000.0, ,"Tobu, Nagaland","Besides massive mudslide near Yakshu field, multiple landslide/ mudslides along the Tobu road between 71 BRTF camp to Kimang river have occurred affecting the roads by washing away culverts and blocking the roads. All minor landslides/mudslides have been","Tobu, Nagaland",10km,landslide,rain,medium,unknown,0,0, , , ,GLC,5336,26.3897,94.9439,India,IN,Nagaland,Noklak,22.14,1396310400000.0,1606348800000,10569106.601927493,3047427.565452922,2013-08-16
9946,reuters,http://www.reuters.com/article/homepageCrisis/idUS122202461418._CH_.2400,797,1221782400000.0, ,"Rohru,Theog and Chopal sub-divisions, Shimla, Himachal Pradesh","monsoon rains caused extensive flooding and landslides in Northern area, hillslope collapsed and crushed many houses and people in the local market in Shimla","Rohru,Theog and Chopal sub-divisions, Shimla, Himachal Pradesh",10km,landslide,downpour,large,unknown,38,0, , , ,GLC,797,31.1,77.1645,India,IN,Himachal Pradesh,Simla,9.07,1396310400000.0,1606348800000,8589912.847317562,3645742.868003541,2008-09-19
9952,myrepublica,http://www.myrepublica.com/portal/index.php?action=news_details&news_id=8895,1115,1250726400000.0, ,"Jogbuda-4, Malas","A landslide destroyed three houses in Jogbuda-4, Malas according to the Area Police Office. Similarly, some families in Amargadi municipality have also been displaced due to fear of landslide. Sixty-eight families from various Village Development Committ","Jogbuda-4, Malas",5km,landslide,downpour,medium,unknown,0,0, , , ,GLC,1115,29.0958,80.3125,Nepal,NP,Mahakali,Jogbura,5.11,1396310400000.0,1606348800000,8940346.60433479,3387844.8879157235,2009-08-20
9969,indianexpress,http://www.indianexpress.com/news/kalkashimla-heritage-train-derails-one.../401285/,942,1229817600000.0, ,"Kalka-Shimla rail line, 1 km from Dharampur railway station at Tunnel No. 27","train derailed due to boulders on track from recent landslides, unsure of exact date of landslides, referred to as ""recent past""","Kalka-Shimla rail line, 1 km from Dharampur railway station at Tunnel No. 27",25km,rock_fall,unknown,medium,unknown,1,0, , , ,GLC,942,30.895,77.089,India,IN,Himachal Pradesh,Gannja,9.68,1396310400000.0,1606348800000,8581508.225762673,3619120.3891774616,2008-12-21
9973,Kashmir Life,http://www.kashmirlife.net/kashmir-flooded-landslide-near-loc-cut-off-a-village-from-valley-65164/,6361,1409875200000.0,18:00,Selikot,"At the zero line near LoC (Line of Control), a village Selikot has been cut off from the rest of the valley after a landslide blocked the only gate available to this village.",Selikot,unknown,landslide,rain,medium,above_road,0,0, , , ,GLC,6361,34.1093,73.9067,Pakistan,PK,Azad Kashmir,Uri,13.29,1415232000000.0,1606348800000,8227256.210211239,4043487.8048965307,2014-09-05
9978,Tribune,http://www.tribuneindia.com/news/jammu-kashmir/rain-in-rajouri-cuts-off-khwas-tehsil/117786.html,7636,1439078400000.0,01:00,Houses damaged,Torrential rain since 1 am on Sunday followed by landslides and flash floods wreaked havoc in Khwas tehsil of Rajouri district. All roads leading to the area were closed due to landslides.,Khwas tehsil of Rajouri district,5km,landslide,downpour,medium,above_road,0,0, ,http://images.tribuneindia.com/cms/gall_content/2015/8/2015_8$largeimg09_Aug_2015_235015517gallery.jpg, ,GLC,7636,33.29475374,74.56644559,India,IN,Jammu and Kashmir,Kot Bainka,9.35,1461024000000.0,1606348800000,8300698.753009185,3934493.2648987267,2015-08-09
